Model,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,Max_Batch_Tokens,Max_Num_Seqs,Concurrency,QPS,Max_Tokens,Temperature,Top_P,Total_Gen_Avg,Total_Gen_P50,Total_Gen_P90,Total_Gen_P99,First_Token_Avg,First_Token_P50,First_Token_P90,First_Token_P99,Inter_Token_Avg,Inter_Token_P50,Inter_Token_P90,Inter_Token_P99,Throughput,Total_Requests,Total_Input_Tokens,Total_Output_Tokens
meta-llama/Meta-Llama-3-8B,1,1,1,1.0,1.0,1.0,512.0,512.0,8.0,8.0,512.0,0.7,0.9,22481.38317465782,22954.324960708618,23271.196007728577,23348.150289058685,2523.689853293555,2521.7212438583374,5249.199032783508,5990.634977817536,39.77899483335045,34.37817096710205,66.50030612945557,79.26106452941895,952.6123239691716,56.0,114727.0,28152.0
meta-llama/Meta-Llama-3-8B,1,2,1,1.0,2.0,1.0,512.0,512.0,8.0,8.0,512.0,0.7,0.9,15072.235639606204,15276.660799980164,15916.188716888428,16027.219772338867,471.1848156792777,368.1619167327881,971.9635248184204,1237.9335880279543,29.082648270329017,26.47566795349121,40.096282958984375,46.04744911193848,1195.455517280698,56.0,114727.0,28171.0
meta-llama/Meta-Llama-3-8B,1,4,1,1.0,4.0,1.0,512.0,512.0,8.0,8.0,512.0,0.7,0.9,13737.56445305688,13828.028559684753,14140.255212783813,14234.4202876091,315.6367923532213,264.35160636901855,599.5311737060547,736.1121177673343,26.50870267482321,26.502370834350586,28.093266487121582,31.703107357025146,1333.6135452665858,56.0,114727.0,28410.0
meta-llama/Meta-Llama-3-8B,1,8,1,1.0,8.0,1.0,512.0,512.0,8.0,8.0,512.0,0.7,0.9,11698.145342724663,11780.750751495361,11997.588276863098,12086.078679561615,317.49790481158664,252.48217582702637,695.7098245620728,801.7110943794252,22.471564322397942,22.486209869384766,23.288965225219727,33.036088943481445,1495.0109334901092,56.0,114727.0,28417.0
meta-llama/Meta-Llama-3-8B,2,1,1,2.0,1.0,1.0,512.0,512.0,8.0,8.0,512.0,0.7,0.9,14798.043766192028,14922.766208648682,16408.342719078064,16627.071022987366,368.55418341500416,336.2889289855957,521.7785835266113,671.8168854713441,28.541952806352654,25.708675384521484,46.78988456726074,56.45296573638916,1293.5819635841651,56.0,114727.0,28367.0
meta-llama/Meta-Llama-3-8B,2,2,1,2.0,2.0,1.0,512.0,512.0,8.0,8.0,512.0,0.7,0.9,13423.024088144302,13582.296967506409,13936.538815498352,14133.81403684616,228.61648883138383,204.58781719207764,318.59564781188965,430.24120330810547,26.161761382304586,25.20155906677246,31.452131271362305,38.504600524902344,1371.7437940802968,56.0,114727.0,28299.0
meta-llama/Meta-Llama-3-8B,2,4,1,2.0,4.0,1.0,512.0,512.0,8.0,8.0,512.0,0.7,0.9,11586.571936096463,11752.856969833374,11822.281122207642,12035.56399345398,158.23630775724138,140.70606231689453,215.5132293701172,348.7789392471318,22.64797551691494,22.284507751464844,25.825023651123047,30.88855743408203,1554.4645401255468,56.0,114727.0,28314.0
meta-llama/Meta-Llama-3-8B,4,1,1,4.0,1.0,1.0,512.0,512.0,8.0,8.0,512.0,0.7,0.9,12029.75321667535,12178.716778755188,13432.045817375183,13690.616691112518,265.3883397579193,263.0610466003418,329.6762704849243,405.88097572326666,23.378433506060695,20.041704177856445,43.34738254547119,54.06332015991211,1501.8506863199034,56.0,114727.0,28236.0
meta-llama/Meta-Llama-3-8B,4,2,1,4.0,2.0,1.0,512.0,512.0,8.0,8.0,512.0,0.7,0.9,11829.806685447693,11861.577153205872,12446.792364120483,12757.974588871002,194.22657574926103,182.04247951507568,253.26943397521973,337.9936099052431,22.973320100260644,21.607637405395508,29.877901077270508,37.16644763946533,1534.6674407049784,56.0,114727.0,28419.0
meta-llama/Meta-Llama-3-8B,8,1,1,8.0,1.0,1.0,512.0,512.0,8.0,8.0,512.0,0.7,0.9,11193.285903760365,11286.72170639038,12588.12165260315,12980.179691314697,258.75361476625716,250.60784816741943,323.53198528289795,384.4252347946168,21.679363142686473,18.51630210876465,41.649818420410156,49.0899658203125,1656.4990867705424,56.0,114727.0,28301.0
