num_prefill_tokens,num_decode_tokens,num_total_tokens,pd_ratio
3772,54,3826,69.85185185185185
2015,156,2171,12.916666666666666
3858,133,3991,29.00751879699248
2509,79,2588,31.75949367088608
3169,189,3358,16.767195767195766
3466,43,3509,80.6046511627907
3389,231,3620,14.670995670995673
2655,151,2806,17.582781456953644
2131,170,2301,12.53529411764706
3443,101,3544,34.08910891089109
3174,431,3605,7.364269141531323
2814,110,2924,25.581818181818186
1920,267,2187,7.191011235955056
2657,98,2755,27.112244897959183
3117,133,3250,23.43609022556391
3676,181,3857,20.30939226519337
2591,803,3394,3.2266500622665006
3228,107,3335,30.16822429906542
2321,178,2499,13.039325842696629
3525,318,3843,11.08490566037736
3610,189,3799,19.1005291005291
3930,28,3958,140.35714285714286
619,104,723,5.951923076923077
3511,151,3662,23.251655629139076
1680,311,1991,5.401929260450161
2332,200,2532,11.66
2667,151,2818,17.662251655629138
2775,189,2964,14.682539682539682
1743,78,1821,22.346153846153847
2509,448,2957,5.600446428571429
1402,148,1550,9.472972972972974
3228,112,3340,28.821428571428573
2940,366,3306,8.032786885245901
2550,140,2690,18.214285714285715
2471,170,2641,14.53529411764706
2542,148,2690,17.175675675675677
3107,232,3339,13.392241379310343
1221,2131,3352,0.5729704364148287
2691,128,2819,21.0234375
3828,193,4021,19.83419689119171
3211,285,3496,11.266666666666667
999,310,1309,3.2225806451612904
2307,241,2548,9.572614107883815
1685,118,1803,14.279661016949152
3090,138,3228,22.39130434782609
2348,174,2522,13.494252873563218
3492,97,3589,36.0
3578,130,3708,27.523076923076925
2603,173,2776,15.046242774566474
3179,264,3443,12.041666666666666
2392,147,2539,16.272108843537413
2797,156,2953,17.92948717948718
3149,49,3198,64.26530612244898
2846,52,2898,54.73076923076923
3779,131,3910,28.84732824427481
3152,184,3336,17.130434782608695
76,2958,3034,0.0256930358350236
2830,119,2949,23.781512605042018
3063,302,3365,10.142384105960264
2137,480,2617,4.452083333333333
1467,176,1643,8.335227272727273
1482,131,1613,11.312977099236642
2395,213,2608,11.244131455399062
3796,98,3894,38.734693877551024
790,226,1016,3.495575221238938
2129,98,2227,21.72448979591837
3280,112,3392,29.285714285714285
3505,177,3682,19.80225988700565
773,175,948,4.417142857142857
2521,72,2593,35.013888888888886
1651,221,1872,7.470588235294118
2523,100,2623,25.23
3669,115,3784,31.904347826086955
389,172,561,2.261627906976744
3698,205,3903,18.039024390243902
3018,88,3106,34.29545454545455
2823,454,3277,6.21806167400881
3223,276,3499,11.67753623188406
2198,417,2615,5.270983213429257
1724,166,1890,10.385542168674698
692,208,900,3.326923076923077
3354,50,3404,67.08
1610,1793,3403,0.8979364194088121
3773,87,3860,43.367816091954026
1417,106,1523,13.367924528301886
1779,248,2027,7.173387096774194
1322,136,1458,9.720588235294118
2325,356,2681,6.530898876404494
1844,113,1957,16.31858407079646
3570,304,3874,11.74342105263158
3238,275,3513,11.774545454545455
1361,208,1569,6.543269230769231
3659,102,3761,35.872549019607845
2418,174,2592,13.89655172413793
928,90,1018,10.311111111111112
573,2347,2920,0.2441414571793779
2014,351,2365,5.737891737891738
250,1624,1874,0.1539408866995074
509,84,593,6.059523809523809
2953,99,3052,29.828282828282827
3500,313,3813,11.182108626198085
2325,130,2455,17.884615384615383
3481,335,3816,10.391044776119402
2066,113,2179,18.283185840707965
815,194,1009,4.201030927835052
2320,44,2364,52.72727272727273
2611,114,2725,22.903508771929825
2754,176,2930,15.647727272727272
2362,211,2573,11.19431279620853
2878,266,3144,10.819548872180452
1914,87,2001,22.0
2356,149,2505,15.812080536912752
11,1572,1583,0.0069974554707379
3649,138,3787,26.44202898550725
2735,174,2909,15.718390804597702
2688,399,3087,6.7368421052631575
1195,70,1265,17.071428571428573
3329,375,3704,8.877333333333333
3679,128,3807,28.7421875
2767,91,2858,30.406593406593405
2986,138,3124,21.63768115942029
3857,130,3987,29.66923076923077
3124,140,3264,22.314285714285717
2030,128,2158,15.859375
3221,108,3329,29.824074074074076
2347,175,2522,13.411428571428573
3208,292,3500,10.986301369863014
3099,136,3235,22.78676470588235
1185,204,1389,5.8088235294117645
3256,248,3504,13.129032258064516
3883,98,3981,39.62244897959184
2666,69,2735,38.63768115942029
1916,93,2009,20.602150537634408
2297,279,2576,8.232974910394265
2377,76,2453,31.276315789473685
2722,74,2796,36.78378378378378
3683,128,3811,28.7734375
1106,81,1187,13.65432098765432
3805,106,3911,35.89622641509434
3608,111,3719,32.5045045045045
2099,106,2205,19.80188679245283
3185,270,3455,11.796296296296296
3796,109,3905,34.825688073394495
3397,99,3496,34.313131313131315
320,64,384,5.0
2550,226,2776,11.283185840707963
1935,102,2037,18.97058823529412
3128,191,3319,16.376963350785342
2027,154,2181,13.162337662337665
1945,110,2055,17.681818181818183
