cdf,prefill_e2e_time_normalized
0.0,8.057555574566683e-05
0.01,9.386367490523121e-05
0.02,9.751796279471591e-05
0.03,0.00010018831596934885
0.04,0.00010379597606643981
0.05,0.00010416506926443146
0.06,0.00010499204612455226
0.07,0.00010871660059013381
0.08,0.00011485081586741344
0.09,0.00011638530471136328
0.1,0.00011978173890583701
0.11,0.00012392562267313445
0.12,0.00013308778400240441
0.13,0.00013851614091714496
0.14,0.00014519227819350547
0.15,0.00014889183169940488
0.16,0.00015464679269901576
0.17,0.0001615607632584927
0.18,0.0001654087669694831
0.19,0.00020349469490710286
0.2,0.00022492405824824462
0.21,0.00022550057596012294
0.22,0.00023432880713175445
0.23,0.0002449528851779032
0.24,0.0002556100356297357
0.25,0.0002653330673137439
0.26,0.0002795008177814377
0.27,0.0003033420750397272
0.28,0.00030978216970540455
0.29,0.0003143691958221359
0.3,0.0003234750665090938
0.31,0.0003342439926015274
0.32,0.00034542773579370763
0.33,0.00035721111329601023
0.34,0.00036549331456248965
0.35000000000000003,0.00038172392633233976
0.36,0.00039857356555176524
0.37,0.0004199256253102751
0.38,0.000430304500612683
0.39,0.0004331286883799563
0.4,0.0004362531690911366
0.41000000000000003,0.00045292610665180927
0.42,0.00047819220131538456
0.43,0.00048345802890378136
0.44,0.0004858906520408948
0.45,0.0004905254859105229
0.46,0.0005042123145909379
0.47000000000000003,0.0005244409708885084
0.48,0.0005665557168012301
0.49,0.0005881750649418355
0.5,0.0006054969104071271
0.51,0.0006203807870696182
0.52,0.0006401665177154025
0.53,0.000668740460689496
0.54,0.0006962282056662068
0.55,0.0007004440221867322
0.56,0.0007310738328761236
0.5700000000000001,0.0007557423533964922
0.58,0.000769644632408849
0.59,0.0008051166629663095
0.6,0.00085607660715253
0.61,0.0008923002002584373
0.62,0.0009285053299480708
0.63,0.0009506020231087857
0.64,0.0010845413045957749
0.65,0.0011240194101612045
0.66,0.001179433515415411
0.67,0.001306527285315855
0.68,0.001370268332507628
0.6900000000000001,0.0014107902563010137
0.7000000000000001,0.0014678619141133883
0.71,0.00151827410002074
0.72,0.0016080978703829972
0.73,0.0017314044945891168
0.74,0.0017815946051271251
0.75,0.0018646173107381512
0.76,0.001954311360820082
0.77,0.002093734781548745
0.78,0.0021607332429648984
0.79,0.002387425375105531
0.8,0.0027759808188700013
0.81,0.002978021358476522
0.8200000000000001,0.0032927217685873927
0.8300000000000001,0.0035864215082778224
0.84,0.00395330740723134
0.85,0.004068378761170502
0.86,0.004173944123817659
0.87,0.004681059994827549
0.88,0.004892150720336217
0.89,0.004924129940172451
0.9,0.00545036254136007
0.91,0.006601257863365118
0.92,0.008651874550115847
0.93,0.009276424096495902
0.9400000000000001,0.010300374245339448
0.9500000000000001,0.012098802705571803
0.96,0.01617837333015206
0.97,0.018309713942027267
0.98,0.023546844527233657
0.99,0.034703695796370504
1.0,0.045080388967773714
