cdf,prefill_time_execution_plus_preemption_normalized,replica
0.0,9.301033691894926e-05,0
0.01,9.409387211039544e-05,0
0.02,9.517740730184163e-05,0
0.03,9.62609424932878e-05,0
0.04,9.7344477684734e-05,0
0.05,9.842801287618017e-05,0
0.06,9.951154806762635e-05,0
0.07,0.00010041332256342146,0
0.08,0.00010095157566791445,0
0.09,0.00010148982877240744,0
0.1,0.00010202808187690043,0
0.11,0.00010256633498139342,0
0.12,0.0001031045880858864,0
0.13,0.00010364284119037939,0
0.14,0.00010433361560956333,0
0.15,0.00010510065068609274,0
0.16,0.00010586768576262217,0
0.17,0.00010663472083915158,0
0.18,0.000107401755915681,0
0.19,0.00010816879099221041,0
0.2,0.00010893582606873983,0
0.21,0.00010961818363613465,0
0.22,0.00011030054120352947,0
0.23,0.00011098289877092428,0
0.24,0.0001116652563383191,0
0.25,0.00011234761390571392,0
0.26,0.00011302997147310874,0
0.27,0.0001134884570138651,0
0.28,0.00011349919850134457,0
0.29,0.00011350993998882404,0
0.3,0.00011352068147630351,0
0.31,0.00011353142296378298,0
0.32,0.00011354216445126245,0
0.33,0.00011355290593874192,0
0.34,0.00011365592490179398,0
0.35000000000000003,0.00011380508260263235,0
0.36,0.00011395424030347071,0
0.37,0.00011410339800430906,0
0.38,0.00011425255570514743,0
0.39,0.00011440171340598578,0
0.4,0.00011455087110682414,0
0.41000000000000003,0.00011483122822221826,0
0.42,0.0001151115853376124,0
0.43,0.00011539194245300651,0
0.44,0.00011567229956840063,0
0.45,0.00011595265668379476,0
0.46,0.00011623301379918888,0
0.47000000000000003,0.0001167093440715559,0
0.48,0.00011757762065786869,0
0.49,0.00011844589724418148,0
0.5,0.00011931417383049427,0
0.51,0.00012018245041680708,0
0.52,0.00012105072700311987,0
0.53,0.00012191900358943266,0
0.54,0.00012233155790061703,0
0.55,0.00012251625107423717,0
0.56,0.00012270094424785734,0
0.5700000000000001,0.00012288563742147748,0
0.58,0.00012307033059509763,0
0.59,0.0001232550237687178,0
0.6,0.00012343971694233794,0
0.61,0.00012376836259573717,0
0.62,0.0001240970082491364,0
0.63,0.00012442565390253558,0
0.64,0.0001247542995559348,0
0.65,0.00012508294520933403,0
0.66,0.00012541159086273325,0
0.67,0.00012572280226035164,0
0.68,0.00012599914514640839,0
0.6900000000000001,0.00012627548803246513,0
0.7000000000000001,0.0001265518309185219,0
0.71,0.00012682817380457864,0
0.72,0.00012710451669063538,0
0.73,0.00012738085957669212,0
0.74,0.00012862319693615902,0
0.75,0.00013034853153233103,0
0.76,0.000132073866128503,0
0.77,0.000133799200724675,0
0.78,0.00013552453532084702,0
0.79,0.000137249869917019,0
0.8,0.00013897520451319097,0
0.81,0.00013917209618703513,0
0.8200000000000001,0.00013936898786087932,0
0.8300000000000001,0.00013956587953472348,0
0.84,0.00013976277120856764,0
0.85,0.00013995966288241182,0
0.86,0.00014015655455625598,0
0.87,0.00014128570958905687,0
0.88,0.00014427939133977111,0
0.89,0.00014727307309048542,0
0.9,0.00015026675484119972,0
0.91,0.00015326043659191402,0
0.92,0.00015625411834262833,0
0.93,0.0001592478000933426,0
0.9400000000000001,0.00016024571904757807,0
0.9500000000000001,0.00016024575660357417,0
0.96,0.00016024579415957024,0
0.97,0.00016024583171556634,0
0.98,0.00016024586927156241,0
0.99,0.00016024590682755851,0
1.0,0.0001602459443835546,0
0.0,0.00010480171709917537,1
0.01,0.00010516348545363005,1
0.02,0.00010552525380808473,1
0.03,0.00010588702216253942,1
0.04,0.0001062487905169941,1
0.05,0.00010661055887144878,1
0.06,0.00010697232722590346,1
0.07,0.000107558122180233,1
0.08,0.00010859197033431228,1
0.09,0.00010962581848839155,1
0.1,0.00011065966664247083,1
0.11,0.0001116935147965501,1
0.12,0.00011272736295062937,1
0.13,0.00011376121110470865,1
0.14,0.00011427675220551364,1
0.15,0.00011453313977968149,1
0.16,0.00011478952735384935,1
0.17,0.0001150459149280172,1
0.18,0.00011530230250218506,1
0.19,0.0001155586900763529,1
0.2,0.00011581507765052077,1
0.21,0.00011655572733132192,1
0.22,0.00011729637701212306,1
0.23,0.0001180370266929242,1
0.24,0.00011877767637372534,1
0.25,0.0001195183260545265,1
0.26,0.00012025897573532764,1
0.27,0.00012086457476994715,1
0.28,0.00012120007251220339,1
0.29,0.00012153557025445961,1
0.3,0.00012187106799671586,1
0.31,0.00012220656573897208,1
0.32,0.00012254206348122834,1
0.33,0.00012287756122348457,1
0.34,0.00012300762405174622,1
0.35000000000000003,0.00012303496942301056,1
0.36,0.0001230623147942749,1
0.37,0.00012308966016553926,1
0.38,0.0001231170055368036,1
0.39,0.00012314435090806796,1
0.4,0.0001231716962793323,1
0.41000000000000003,0.00012331980065410767,1
0.42,0.00012346790502888307,1
0.43,0.00012361600940365847,1
0.44,0.00012376411377843383,1
0.45,0.0001239122181532092,1
0.46,0.0001240603225279846,1
0.47000000000000003,0.00012449387835323264,1
0.48,0.00012549833707942596,1
0.49,0.0001265027958056193,1
0.5,0.00012750725453181263,1
0.51,0.00012851171325800595,1
0.52,0.0001295161719841993,1
0.53,0.00013052063071039262,1
0.54,0.00013089323195219094,1
0.55,0.00013094990445179178,1
0.56,0.0001310065769513926,1
0.5700000000000001,0.00013106324945099342,1
0.58,0.00013111992195059425,1
0.59,0.00013117659445019506,1
0.6,0.0001312332669497959,1
0.61,0.00013136793600237567,1
0.62,0.00013150260505495544,1
0.63,0.00013163727410753524,1
0.64,0.000131771943160115,1
0.65,0.00013190661221269479,1
0.66,0.00013204128126527456,1
0.67,0.0001332161596568845,1
0.68,0.00013647145672655465,1
0.6900000000000001,0.00013972675379622475,1
0.7000000000000001,0.00014298205086589493,1
0.71,0.00014623734793556503,1
0.72,0.0001494926450052352,1
0.73,0.00015274794207490534,1
0.74,0.00015471554873463074,1
0.75,0.00015603931018938372,1
0.76,0.00015736307164413669,1
0.77,0.00015868683309888968,1
0.78,0.00016001059455364265,1
0.79,0.00016133435600839563,1
0.8,0.0001626581174631486,1
0.81,0.00016724187308729974,1
0.8200000000000001,0.0001718256287114508,1
0.8300000000000001,0.00017640938433560196,1
0.84,0.0001809931399597531,1
0.85,0.00018557689558390422,1
0.86,0.00019016065120805537,1
